
HDI rank;;LEVEL HD;Survey Year_MDG;Share of income or expenditure(%) _Poorest 10%__MDG;"Share of income or expenditure
(%) _Poorest 20%_MDG";Share of income or expenditure(%) _Richest 20%__MDG;Share of income or expenditure(%) _Richest 10%__MDG;Inequality measures_Richest 10% to poorest 10%;Inequality measures_Richest 20% to poorest 20%;Inequality measures_Gini index
1;Iceland;HIGH;..;,,;,,;,,;,,;..;..;..
2;Norway;HIGH;2000;3.9;9.6;37.2;23.4;6.1;3.9;25.8
3;Australia;HIGH;1994;2.0;5.9;41.3;25.4;12.5;7.0;35.2
4;Canada;HIGH;2000;2.6;7.2;39.9;24.8;9.4;5.5;32.6
5;Ireland;HIGH;2000;2.9;7.4;42.0;27.2;9.4;5.6;34.3S
6;Sweden;HIGH;2000;3.6;9.1;36.6;22.2;6.2;4.0;25.0
7;Switzerland;HIGH;2000;2.9;7.6;41.3;25.9;9.0;5.5;33.7
8;Japan;HIGH;1993;4.8;10.6;35.7;21.7;4.5;3.4;24.9
9;Netherlands;HIGH;1999;2.5;7.6;38.7;22.9;9.2;5.1;30.9
10;France;HIGH;1995;2.8;7.2;40.2;25.1;9.1;5.6;32.7
11;Finland;HIGH;2000;4.0;9.6;36.7;22.6;5.6;3.8;26.9
12;United States;HIGH;2000;1.9;5.4;45.8;29.9;15.9;8.4;40.8
13;Spain;HIGH;2000;2.6;7.0;42.0;26.6;10.3;6.0;34.7
14;Denmark;HIGH;1997;2.6;8.3;35.8;21.3;8.1;4.3;24.7
15;Austria;HIGH;2000;3.3;8.6;37.8;23.0;6.9;4.4;29.1
16;United Kingdom;HIGH;1999;2.1;6.1;44.0;28.5;13.8;7.2;36.0
17;Belgium;HIGH;2000;3.4;8.5;41.4;28.1;8.2;4.9;33.0
18;Luxembourg;HIGH;..;..;..;..;..;..;..;..
19;New Zealand;HIGH;1997;2.2;6.4;43.8;27.8;12.5;6.8;36.2
20;Italy;HIGH;2000;2.3;6.5;42.0;26.8;11.6;6.5;36.0
21;Hong Kong, China (SAR);HIGH;1996;2.0;5.3;50.7;34.9;17.8;9.7;43.4
22;Germany;HIGH;2000;3.2;8.5;36.9;22.1;6.9;4.3;28.3
23;Israel;HIGH;2001;2.1;5.7;44.9;28.8;13.4;7.9;39.2
24;Greece;HIGH;2000;2.5;6.7;41.5;26.0;10.2;6.2;34.3
25;Singapore;HIGH;1998;1.9;5.0;49.0;32.8;17.7;9.7;42.5
26;Korea (Republic of);HIGH;1998;2.9;7.9;37.5;22.5;7.8;4.7;31.6
27;Slovenia;HIGH;1998;3.6;9.1;35.7;21.4;5.9;3.9;28.4
28;Cyprus;HIGH;..;..;..;..;..;..;..;..
29;Portugal;HIGH;1997;2.0;5.8;45.9;29.8;15.0;8.0;38.5
30;Brunei Darussalam;HIGH;..;..;..;..;..;..;..;..
31;Barbados;HIGH;..;..;..;..;..;..;..;..
32;HIGH;HIGH;1996;4.3;10.3;35.9;22.4;5.2;3.5;25.4
33;Kuwait;HIGH;..;..;..;..;..;..;..;..
34;Malta;HIGH;..;..;..;..;..;..;..;..
35;Qatar;HIGH;..;..;..;..;..;..;..;..
36;Hungary;HIGH;2002;4.0;9.5;36.5;22.2;5.5;3.8;26.9
37;Poland;HIGH;2002;3.1;7.5;42.2;27.0;8.8;5.6;34.5
38;Argentina;HIGH;2004;0.9;3.1;55.4;38.2;40.9;17.8;51.3
39;United Arab Emirates;HIGH;..;..;..;..;`;..;..;..
40;Chile;HIGH;2003;1.4;3.8;60.0;45.0;33.0;15.7;54.9
41;Bahrain;HIGH;..;..;..;..;..;..;..;..
42;Slovakia;HIGH;1996;3.1;8.8;34.8;20.9;6.7;4.0;25.8
43;Lithuania;HIGH;2003;2.7;6.8;43.2;27.7;10.4;6.3;36.0
44;Estonia;HIGH;2003;2.5;6.7;42.8;27.6;10.8;6.4;35.8
45;Latvia;HIGH;2003;2.5;6.6;44.7;29.1;11.6;6.8;37.7
46;Uruguay;HIGH;2003;1.9;5.0;50.5;34.0;17.9;10.2;44.9
47;Croatia;HIGH;2001;3.4;8.3;39.6;24.5;7.3;4.8;29.0
48;Costa Rica;HIGH;2003;1.0;3.5;54.1;37.4;37.8;15.6;49.8
49;Bahamas;HIGH;..;..;..;..;..;..;..;..
50;Seychelles;HIGH;..;..;..;..;..;..;..;..
51;Cuba;HIGH;..;..;..;..;..;..;..;..
52;Mexico;HIGH;2004;1.6;4.3;55.1;39.4;24.6;12.8;46.1
53;Bulgaria;HIGH;2003;3.4;8.7;38.3;23.9;7.0;4.4;29.2
54;Saint Kitts and Nevis;HIGH;..;..;;;;;;
55;Tonga;HIGH;..;..;;;;;;
56;Libyan Arab Jamahiriya;HIGH;..;..;;;;;;
57;Antigua and Barbuda;HIGH;..;..;;;;;;
58;Oman;HIGH;..;..;;;;;;
59;Trinidad and Tobago;HIGH;1992;2.2;5.9;44.9;28.8;12.9;7.6;38.9
60;Romania;HIGH;2003;3.3;8.1;39.2;24.4;7.5;4.9;31.0
61;Saudi Arabia;HIGH;..;..;;;;;;
62;Panama;HIGH;2003;0.7;2.5;59.9;43.0;57.5;23.9;56.1
63;Malaysia;HIGH;1997;1.7;4.4;54.3;38.4;22.1;12.4;49.2
64;Belarus;HIGH;2002;3.4;8.5;38.3;23.5;6.9;4.5;29.7
65;Mauritius;HIGH;;;;;;;;
66;Bosnia and Herzegovina;HIGH;2001;3.9;9.5;35.8;21.4;5.4;3.8;26.2
67;Russian Federation;HIGH;2002;2.4;6.1;46.6;30.6;12.7;7.6;39.9
68;Albania;HIGH;2004;3.4;8.2;39.5;24.4;7.2;4.8;31.1
69;Macedonia (TFYR);HIGH;2003;2.4;6.1;45.5;29.6;12.5;7.5;39.0
70;Brazil;HIGH;2004;0.9;2.8;61.1;44.8;51.3;21.8;57.0
71;Dominica;MEDIUM;;;;;;;;
72;Saint Lucia;MEDIUM;;;;;;;;
73;Kazakhstan;MEDIUM;2003;3.0;7.4;41.5;25.9;8.5;5.6;33.9
74;Venezuela (Bolivarian Republic of);MEDIUM;2003;0.7;3.3;52.1;35.2;48.3;16.0;48.2
75;Colombia;MEDIUM;2003;0.7;2.5;62.7;46.9;63.8;25.3;58.6
76;Ukraine;MEDIUM;2003;3.9;9.2;37.5;23.0;5.9;4.1;28.1
77;Samoa;MEDIUM;;;;;;;;
78;Thailand;MEDIUM;2002;2.7;6.3;49.0;33.4;12.6;7.7;42.0
79;Dominican Republic;MEDIUM;2004;1.4;4.0;56.7;41.1;28.5;14.3;51.6
80;Belize;MEDIUM;;;;;;;;
